****** begin! ******
****** step1 ******
episode 0, total reward -455.1859862528011
episode 327, total reward -472.0317148609874
episode 328, total reward -558.3247468722415
episode 329, total reward -600.0799047477159
episode 330, total reward -469.3168707251386
episode 331, total reward -331.3506211597037
episode 332, total reward -369.1640709414801
episode 333, total reward -362.8234132853484
episode 334, total reward -390.14211843186007
episode 335, total reward -424.00644415398756
episode 336, total reward -465.40507879959307
episode 337, total reward -523.8145627037584
episode 338, total reward -464.378570158371
episode 339, total reward -376.4469988843682
episode 340, total reward -492.74176294633213
start test!
average_test_reward_sum = -588.4132794694793
episode 341, total reward -494.34151378445955
episode 342, total reward -463.6564107350186
episode 343, total reward -362.6323327986638
episode 344, total reward -495.83131151240724
episode 345, total reward -578.5004772519436
episode 346, total reward -601.7659398725996
episode 347, total reward -361.9776745256527
episode 348, total reward -371.4825942511265
episode 349, total reward -458.9044670665796
episode 350, total reward -380.79816591238983
episode 351, total reward -613.9717679292884
episode 352, total reward -458.26236166366675
episode 353, total reward -602.7838735340413
episode 354, total reward -684.18670980306
episode 355, total reward -468.93059762986906
episode 356, total reward -469.806998597261
episode 357, total reward -498.5601992157136
episode 358, total reward -543.879215859088
episode 359, total reward -364.5793335321833
episode 360, total reward -363.82995686305503
start test!
average_test_reward_sum = -603.5530352814104
episode 361, total reward -377.1855658404755
episode 362, total reward -364.91824454649554
episode 363, total reward -432.9650278627447
episode 364, total reward -273.7758526031917
episode 365, total reward -281.514410402816
episode 366, total reward -365.4586119266321
episode 367, total reward -619.1479060990904
episode 368, total reward -345.5805158504768
episode 369, total reward -654.5697058716788
episode 370, total reward -521.5688158663504
episode 371, total reward -412.2911462771373
episode 372, total reward -249.5499231630244
episode 373, total reward -418.6986466140329
episode 374, total reward -255.63522721989062
episode 375, total reward -253.1478972152697
episode 376, total reward -368.3852916966079
episode 377, total reward -517.7766389009922
episode 378, total reward -366.87169285671877
episode 379, total reward -377.60580817800667
episode 380, total reward -381.6654391818278
start test!
average_test_reward_sum = -609.7751091100257
episode 381, total reward -248.8641873084625
episode 382, total reward -605.8896854586427
episode 383, total reward -565.0206100605564
episode 384, total reward -397.6482019671353
episode 385, total reward -379.371576137042
episode 386, total reward -532.3995070126764
episode 387, total reward -369.5993165887498
episode 388, total reward -388.8216612566513
episode 389, total reward -264.3791438008808
episode 390, total reward -430.30075236635156
episode 391, total reward -457.0135895405913
episode 392, total reward -557.0599051895248
episode 393, total reward -549.4264208779931
episode 394, total reward -377.88239091556255
episode 395, total reward -665.8427017707892
episode 396, total reward -379.50536726512627
episode 397, total reward -521.8306485162148
episode 398, total reward -471.41136729084576
episode 399, total reward -495.14735612384965
episode 400, total reward -453.64023231391553
start test!
average_test_reward_sum = -564.8779622839207
episode 401, total reward -361.5286211693491
episode 402, total reward -390.6799532784009
episode 403, total reward -421.59878832102265
episode 404, total reward -363.30610979341947
episode 405, total reward -365.62479971062146
episode 406, total reward -457.0124304860272
episode 407, total reward -482.98771054480915
episode 408, total reward -506.9914953398241
episode 409, total reward -599.0467019560654
episode 410, total reward -462.81200132244
episode 411, total reward -526.9428971334245
episode 412, total reward -365.9895884909192
episode 413, total reward -366.28447034638566
episode 414, total reward -453.1108922892655
episode 415, total reward -308.8347126480602
episode 416, total reward -570.4641788837544
episode 417, total reward -367.8530764995778
episode 418, total reward -482.1222238870501
episode 419, total reward -699.6123058358978
episode 420, total reward -595.9574034876699
start test!
average_test_reward_sum = -562.5877036403638
episode 421, total reward -479.2746060741547
episode 422, total reward -358.46140118518343
episode 423, total reward -483.464038365777
episode 424, total reward -524.4647887584156
episode 425, total reward -359.8555642065381
episode 426, total reward -497.9173325426016
episode 427, total reward -262.1741765724044
episode 428, total reward -420.7115903691844
episode 429, total reward -691.2640943863422
