****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 327, total reward -356.7895853661613
episode 328, total reward -512.3051438731916
episode 329, total reward -246.7424957588083
episode 330, total reward -533.104315378066
episode 331, total reward -271.72856423809975
episode 332, total reward -401.9399167769344
episode 333, total reward -586.2311370536754
episode 334, total reward -272.7046538696499
episode 335, total reward -516.9510576985382
episode 336, total reward -552.3275217383051
episode 337, total reward -510.30281302271607
episode 338, total reward -361.8272386304705
episode 339, total reward -376.47360812241567
episode 340, total reward -709.1315409512003
start test!
average_test_reward_sum = -586.7389597572561
episode 341, total reward -589.0668803906512
episode 342, total reward -595.6359126555298
episode 343, total reward -591.7540218269858
episode 344, total reward -483.7104981193038
episode 345, total reward -465.852899322971
episode 346, total reward -530.8208137034826
episode 347, total reward -528.9656771434596
episode 348, total reward -256.8885788686574
episode 349, total reward -331.3159696937249
episode 350, total reward -572.343067143566
episode 351, total reward -669.5041530367688
episode 352, total reward -378.88719443501145
episode 353, total reward -540.0366041812919
episode 354, total reward -266.79158944137623
episode 355, total reward -282.79722026145225
episode 356, total reward -378.25254703730894
episode 357, total reward -499.79086841351614
episode 358, total reward -589.809619376854
episode 359, total reward -476.6773469998704
episode 360, total reward -582.3884897527477
start test!
average_test_reward_sum = -526.4752196529595
episode 361, total reward -596.2745641526449
episode 362, total reward -316.08230640579205
episode 363, total reward -670.9211698586437
episode 364, total reward -520.7187711806431
episode 365, total reward -385.20449579168496
episode 366, total reward -370.418819341235
episode 367, total reward -417.2730326629431
episode 368, total reward -507.61513946111165
episode 369, total reward -364.82902338092885
episode 370, total reward -644.9979665543331
episode 371, total reward -365.42858839564747
episode 372, total reward -367.5197607266631
episode 373, total reward -359.843945976246
episode 374, total reward -508.4120665304225
episode 375, total reward -461.24018547380643
episode 376, total reward -477.49778219156525
episode 377, total reward -482.5176530083437
episode 378, total reward -380.6146871030828
episode 379, total reward -556.1786826068437
episode 380, total reward -467.0654740784573
start test!
average_test_reward_sum = -570.7016960659681
episode 381, total reward -574.1338943605768
episode 382, total reward -621.8930434544803
episode 383, total reward -630.1568321204487
episode 384, total reward -488.221672631035
episode 385, total reward -628.2624713158468
episode 386, total reward -504.5549089149923
episode 387, total reward -558.7871440508951
episode 388, total reward -629.0737640518645
episode 389, total reward -466.7666989785316
episode 390, total reward -560.3377474836515
