****** begin! ******
****** step1 ******
episode 0, total reward -573.6744993729882
episode 342, total reward -498.4958501979696
episode 343, total reward -362.62326371281733
episode 344, total reward -353.3957448521905
episode 345, total reward -387.2708478356486
episode 346, total reward -331.9650389308732
episode 347, total reward -536.5784490748417
episode 348, total reward -461.08175330358443
episode 349, total reward -439.5867416012809
episode 350, total reward -344.74174984999286
episode 351, total reward -383.3697430486369
episode 352, total reward -560.0684675744077
episode 353, total reward -361.2650656984435
episode 354, total reward -666.3946334669837
episode 355, total reward -504.94365082431636
episode 356, total reward -457.47123775910825
episode 357, total reward -281.9636128513949
episode 358, total reward -367.76622752312124
episode 359, total reward -521.4173122302524
episode 360, total reward -549.8878762078787
start test!
average_test_reward_sum = -548.5799801525798
episode 361, total reward -650.0410702543979
episode 362, total reward -362.84590641720837
episode 363, total reward -532.7352613561316
episode 364, total reward -269.73554413697843
episode 365, total reward -252.32553519028951
episode 366, total reward -271.14848047689895
episode 367, total reward -505.3587885680997
episode 368, total reward -366.48198503029585
episode 369, total reward -597.3512493098575
episode 370, total reward -492.7059604279466
episode 371, total reward -465.75999086302517
episode 372, total reward -427.52307472801374
episode 373, total reward -429.5063138967006
episode 374, total reward -583.8147275021986
episode 375, total reward -373.9236227529064
episode 376, total reward -461.1124930620301
episode 377, total reward -456.16311488480585
episode 378, total reward -254.83434227518723
episode 379, total reward -592.6890333728843
episode 380, total reward -346.8387675438623
start test!
average_test_reward_sum = -640.3967335572308
episode 381, total reward -613.9334255078616
episode 382, total reward -251.6147690154047
episode 383, total reward -412.4350281071048
episode 384, total reward -494.0743540367617
episode 385, total reward -346.16027466487213
episode 386, total reward -359.4263103950443
episode 387, total reward -360.4338770564881
episode 388, total reward -680.1327611711577
episode 389, total reward -476.36567917008443
episode 390, total reward -353.9924465207779
episode 391, total reward -251.75786392619852
episode 392, total reward -581.8680699222127
episode 393, total reward -518.0012961601525
episode 394, total reward -457.7434307666503
episode 395, total reward -682.2935245023149
episode 396, total reward -479.49669457085116
episode 397, total reward -577.9136271700139
episode 398, total reward -622.8237811387651
episode 399, total reward -563.4534394278356
episode 400, total reward -498.7046191869507
start test!
average_test_reward_sum = -557.0143151118243
episode 401, total reward -376.0396713662075
episode 402, total reward -363.05424945730476
episode 403, total reward -387.7685112929773
episode 404, total reward -469.05282098172694
episode 405, total reward -454.2289688449269
episode 406, total reward -553.8877701153191
episode 407, total reward -600.9479429712212
episode 408, total reward -481.91974058627164
episode 409, total reward -560.450402429503
episode 410, total reward -471.99957587548346
episode 411, total reward -361.4181157734465
episode 412, total reward -451.191240601973
episode 413, total reward -508.64900965781226
episode 414, total reward -470.81185846472283
episode 415, total reward -613.091203642615
episode 416, total reward -490.7298510997526
episode 417, total reward -489.64703537633636
episode 418, total reward -464.743606747052
episode 419, total reward -247.313435574016
episode 420, total reward -354.865307826844
start test!
average_test_reward_sum = -568.9186469545132
episode 421, total reward -478.7346539790746
episode 422, total reward -392.16562737981593
episode 423, total reward -319.06677193555504
episode 424, total reward -380.1957782854963
