****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
episode 254, total reward -479.78771385789753
episode 255, total reward -682.6305635745498
episode 256, total reward -365.4142534387132
episode 257, total reward -373.77398831243613
episode 258, total reward -501.3028784340151
episode 259, total reward -537.0694553991316
episode 260, total reward -534.3864088424875
start test!
average_test_reward_sum = -596.2461157184694
episode 261, total reward -486.9361791327185
episode 262, total reward -484.2941742424484
episode 263, total reward -460.7020119411409
episode 264, total reward -335.92261634349285
episode 265, total reward -363.229033722484
episode 266, total reward -626.8846954283783
episode 267, total reward -654.4579636279717
episode 268, total reward -532.8915716176326
episode 269, total reward -684.0925847241218
episode 270, total reward -557.3012664134559
episode 271, total reward -464.92014723405015
episode 272, total reward -459.11136157112657
episode 273, total reward -470.66046648416875
episode 274, total reward -376.52146365217595
episode 275, total reward -304.8678289553939
episode 276, total reward -368.4017548920609
episode 277, total reward -672.460194888171
episode 278, total reward -366.4573019058402
episode 279, total reward -362.0549871536282
episode 280, total reward -478.16740123842635
start test!
average_test_reward_sum = -609.6641157123079
episode 281, total reward -517.7950185291662
episode 282, total reward -631.8720924413402
episode 283, total reward -526.9702933708996
episode 284, total reward -555.7636756166678
episode 285, total reward -461.9856559470223
episode 286, total reward -366.0271642356592
episode 287, total reward -600.3906995515515
episode 288, total reward -448.98444935503653
episode 289, total reward -612.6435121065521
episode 290, total reward -364.57911473992493
episode 291, total reward -316.2295050601379
episode 292, total reward -401.5001621843665
episode 293, total reward -458.0660519984731
episode 294, total reward -438.66830098345224
episode 295, total reward -246.9590482262226
episode 296, total reward -676.7378307892678
episode 297, total reward -378.83932620991806
episode 298, total reward -513.5515305506125
episode 299, total reward -546.5383367930589
episode 300, total reward -467.29637383613374
start test!
average_test_reward_sum = -582.0867571550918
episode 301, total reward -469.77023913303486
episode 302, total reward -491.67157382582326
episode 303, total reward -514.5192216800183
episode 304, total reward -375.6377375205423
episode 305, total reward -410.8658857968064
episode 306, total reward -452.78656126207363
episode 307, total reward -598.0439339057798
episode 308, total reward -370.31515910175585
episode 309, total reward -359.59611547754116
episode 310, total reward -455.2524766140625
episode 311, total reward -520.6553100080259
episode 312, total reward -468.454279989021
episode 313, total reward -698.7435862983398
episode 314, total reward -694.9192708322213
episode 315, total reward -365.3209671324283
episode 316, total reward -651.9731982615147
episode 317, total reward -579.9481499179402
episode 318, total reward -284.57219878653825
episode 319, total reward -688.260941958694
episode 320, total reward -470.05499252123184
start test!
average_test_reward_sum = -549.0261384087369
episode 321, total reward -395.0621457774402
episode 322, total reward -687.4823245303368
episode 323, total reward -298.74439285252157
episode 324, total reward -376.2945828577069
episode 325, total reward -392.00463524476584
episode 326, total reward -356.0440160895083
episode 327, total reward -470.2456571836903
episode 328, total reward -555.5813916437617
episode 329, total reward -635.3036212181923
episode 330, total reward -664.7927909055647
episode 331, total reward -381.86745769365166
episode 332, total reward -633.134173669305
episode 333, total reward -481.08288309093194
episode 334, total reward -494.9648124590112
episode 335, total reward -364.0454297721834
episode 336, total reward -330.90130868412325
episode 337, total reward -478.8973780594374
episode 338, total reward -511.92586009145987
episode 339, total reward -343.22666829956194
episode 340, total reward -579.335377717137
start test!
average_test_reward_sum = -568.8490949463787
