****** begin! ******
****** step1 ******
episode 0, total reward -361.01173543188855
episode 233, total reward -529.7192779710597
episode 234, total reward -486.51428379118624
episode 235, total reward -521.9461486777885
episode 236, total reward -675.1822221774739
episode 237, total reward -548.5350060434049
episode 238, total reward -659.3928078214884
episode 239, total reward -394.54429415311506
episode 240, total reward -261.1545945063151
start test!
average_test_reward_sum = -578.220497826331
episode 241, total reward -413.3162600834808
episode 242, total reward -453.49639331015663
episode 243, total reward -400.1946977232168
episode 244, total reward -365.42613386056513
episode 245, total reward -260.07592687439393
episode 246, total reward -254.5425511149773
episode 247, total reward -270.5789443028372
episode 248, total reward -577.7382131070478
episode 249, total reward -366.3844523346598
episode 250, total reward -370.49162619789576
episode 251, total reward -359.44587866957465
episode 252, total reward -379.45957318229017
episode 253, total reward -383.4816147456683
episode 254, total reward -533.062737115443
episode 255, total reward -547.0939142929075
episode 256, total reward -417.40146491327437
episode 257, total reward -596.2265730356502
episode 258, total reward -356.6185607413458
episode 259, total reward -569.4438985764448
episode 260, total reward -544.6887612854167
start test!
average_test_reward_sum = -582.7406513270454
episode 261, total reward -361.0831968074746
episode 262, total reward -667.2563644535401
episode 263, total reward -489.2399039897426
episode 264, total reward -389.86401177011027
episode 265, total reward -654.1099196105422
episode 266, total reward -389.21797041726484
episode 267, total reward -662.1334822695646
episode 268, total reward -528.8392672534214
episode 269, total reward -520.9519528755374
episode 270, total reward -537.6622380156438
episode 271, total reward -572.1706238926179
episode 272, total reward -439.87575851217184
episode 273, total reward -511.42809327876495
episode 274, total reward -518.3791429672533
episode 275, total reward -493.83449978251736
episode 276, total reward -609.6017412418355
episode 277, total reward -275.2556410495624
episode 278, total reward -640.6518225018575
episode 279, total reward -623.9565246500723
episode 280, total reward -586.8854641230149
start test!
average_test_reward_sum = -486.46704379944913
episode 281, total reward -596.6121441988796
episode 282, total reward -389.4083314425419
episode 283, total reward -364.21929238656287
episode 284, total reward -487.2274474605667
episode 285, total reward -509.05730480823684
episode 286, total reward -416.8874978692797
episode 287, total reward -666.2414771994647
episode 288, total reward -369.4448581275855
episode 289, total reward -294.04309239577907
episode 290, total reward -376.2248446787779
episode 291, total reward -628.43259484262
episode 292, total reward -466.66485150925
episode 293, total reward -468.22409857619175
episode 294, total reward -602.3269517402068
episode 295, total reward -372.9292778230778
episode 296, total reward -452.87514904356726
episode 297, total reward -408.4379487632103
episode 298, total reward -253.92116754820884
episode 299, total reward -467.1167307241786
episode 300, total reward -619.4126106332021
start test!
average_test_reward_sum = -569.8924831289811
episode 301, total reward -690.0234581441491
episode 302, total reward -256.2992961439497
episode 303, total reward -370.4354645012392
episode 304, total reward -458.68959114461177
episode 305, total reward -583.5922423668993
episode 306, total reward -386.3130106297874
episode 307, total reward -511.26526573152927
episode 308, total reward -589.768064823568
episode 309, total reward -365.3891149837405
episode 310, total reward -471.69039067591837
episode 311, total reward -362.51377411313655
episode 312, total reward -595.4807831414278
episode 313, total reward -353.14499234415376
episode 314, total reward -500.33199177921995
episode 315, total reward -298.2552493408358
episode 316, total reward -364.6256839151519
episode 317, total reward -273.171739660775
episode 318, total reward -578.6312695089744
episode 319, total reward -501.76081670534586
episode 320, total reward -412.79486499360416
start test!
average_test_reward_sum = -565.1564722436003
episode 321, total reward -676.9830039767348
episode 322, total reward -522.3667587577994
episode 323, total reward -490.76958260094705
episode 324, total reward -508.78137766930666
episode 325, total reward -661.50205169574
episode 326, total reward -502.6257690314969
episode 327, total reward -606.1061892165633
episode 328, total reward -521.0789168168661
episode 329, total reward -370.19301999713576
episode 330, total reward -554.4671761326158
episode 331, total reward -370.50767671654023
episode 332, total reward -369.17240217671025
episode 333, total reward -634.187733678083
episode 334, total reward -591.4545170839264
episode 335, total reward -560.0838541084802
episode 336, total reward -259.23271538824974
episode 337, total reward -284.649245330096
episode 338, total reward -471.42311800847807
episode 339, total reward -250.68550832712458
episode 340, total reward -369.87791060549364
start test!
average_test_reward_sum = -548.7166554406406
episode 341, total reward -305.26310375660944
episode 342, total reward -357.15449654960304
episode 343, total reward -376.0488530141512
episode 344, total reward -361.66328848803494
episode 345, total reward -452.2382889116971
episode 346, total reward -631.5947793691779
episode 347, total reward -457.8718447064042
episode 348, total reward -623.0098874123432
episode 349, total reward -645.7638163133778
episode 350, total reward -290.37173669688923
episode 351, total reward -620.3789198356573
episode 352, total reward -454.0620886860047
episode 353, total reward -359.464325989083
episode 354, total reward -626.3096804932615
episode 355, total reward -502.9982341999356
episode 356, total reward -503.72538289390366
episode 357, total reward -688.62500043205
episode 358, total reward -674.0298035330266
episode 359, total reward -364.40073053723756
episode 360, total reward -410.27833866791696
start test!
average_test_reward_sum = -562.9537957693185
episode 361, total reward -361.0918416747089
episode 362, total reward -310.4564420613297
episode 363, total reward -362.18296726949956
episode 364, total reward -550.9029968826444
episode 365, total reward -308.92108394102297
episode 366, total reward -298.1784599554795
episode 367, total reward -254.59102271275756
episode 368, total reward -361.136612591907
episode 369, total reward -501.5611494883956
episode 370, total reward -528.210288870392
episode 371, total reward -373.9931851304377
episode 372, total reward -402.20337619737074
episode 373, total reward -628.7086438226812
episode 374, total reward -548.9889181277617
episode 375, total reward -628.6984147667104
episode 376, total reward -447.27345853674296
episode 377, total reward -373.16940983148476
episode 378, total reward -628.7542060937532
episode 379, total reward -362.0516080855811
episode 380, total reward -484.8595274508079
start test!
average_test_reward_sum = -584.4892757051557
episode 381, total reward -668.2002117849833
episode 382, total reward -441.35391866286903
episode 383, total reward -664.2952023763742
episode 384, total reward -562.7451168510593
episode 385, total reward -364.1810760422979
episode 386, total reward -364.3305331016572
episode 387, total reward -567.3245781177333
episode 388, total reward -606.2165227862506
episode 389, total reward -542.2107576298781
episode 390, total reward -367.44394998707946
episode 391, total reward -562.0589909176733
episode 392, total reward -502.987389464854
episode 393, total reward -467.7591087457537
episode 394, total reward -563.4824928657827
episode 395, total reward -471.22990320525366
episode 396, total reward -484.46984086599474
episode 397, total reward -375.16661900960355
episode 398, total reward -561.7293818822789
episode 399, total reward -601.1069544802431
episode 400, total reward -350.5837769352064
start test!
average_test_reward_sum = -521.7618223554798
episode 401, total reward -335.3072583291112
episode 402, total reward -646.4499311324705
episode 403, total reward -626.2189468682177
episode 404, total reward -400.28004666066056
episode 405, total reward -626.2534689494684
episode 406, total reward -562.9105193691545
episode 407, total reward -629.8489564652076
episode 408, total reward -575.6061066241223
episode 409, total reward -624.3677326010128
episode 410, total reward -668.4888220090173
episode 411, total reward -351.02701485585374
episode 412, total reward -476.59875318374156
episode 413, total reward -384.66150040810015
episode 414, total reward -461.29636574429077
episode 415, total reward -470.3844897790482
episode 416, total reward -371.11557533471705
episode 417, total reward -541.131575498794
episode 418, total reward -251.8453122582947
episode 419, total reward -516.9521114040779
episode 420, total reward -382.6120718069825
start test!
average_test_reward_sum = -518.6060100722973
episode 421, total reward -638.886720427063
episode 422, total reward -246.0995542068574
episode 423, total reward -421.7219313180462
episode 424, total reward -642.4205542513024
episode 425, total reward -354.38879095345663
episode 426, total reward -157.79416669566578
episode 427, total reward -369.1899077959721
episode 428, total reward -498.5040666349508
episode 429, total reward -476.27514382104727
episode 430, total reward -332.7951503263553
episode 431, total reward -485.52461170572263
episode 432, total reward -299.6566669809893
episode 433, total reward -363.0484160351206
episode 434, total reward -372.791628250856
episode 435, total reward -562.524554467587
episode 436, total reward -367.18579129456094
episode 437, total reward -275.11423590413403
episode 438, total reward -584.8698731967269
episode 439, total reward -446.7282826863136
episode 440, total reward -333.3520019659077
start test!
average_test_reward_sum = -518.135219204933
episode 441, total reward -504.73942337980526
episode 442, total reward -441.54557595950695
episode 443, total reward -666.790146544575
episode 444, total reward -289.9696235367087
episode 445, total reward -446.47793732289927
episode 446, total reward -482.2604689457429
episode 447, total reward -268.935697914054
episode 448, total reward -376.3610913166742
episode 449, total reward -378.30917726058016
episode 450, total reward -509.5773609841911
episode 451, total reward -285.9177336416674
episode 452, total reward -502.18910134939114
episode 453, total reward -607.3653753373242
episode 454, total reward -442.41122846939584
episode 455, total reward -538.8956882625693
episode 456, total reward -531.9471850917356
episode 457, total reward -617.7290195441796
episode 458, total reward -342.16485695186617
episode 459, total reward -253.36184497914158
episode 460, total reward -363.52866104332344
start test!
average_test_reward_sum = -621.2192752604901
episode 461, total reward -653.5028238942834
episode 462, total reward -613.3169073141866
episode 463, total reward -251.737733390714
episode 464, total reward -379.3993422400091
episode 465, total reward -360.98976946057047
episode 466, total reward -433.9196184932928
episode 467, total reward -360.71645720421554
episode 468, total reward -468.2231000384084
episode 469, total reward -574.7231605166535
episode 470, total reward -476.96299689673936
episode 471, total reward -376.7988386603689
episode 472, total reward -574.102291614208
episode 473, total reward -438.2198850725078
episode 474, total reward -713.8204357752213
episode 475, total reward -610.4772016080127
episode 476, total reward -627.2359885650658
episode 477, total reward -500.94204055271234
episode 478, total reward -421.424251638138
episode 479, total reward -506.00231673969034
episode 480, total reward -663.3102551344718
start test!
average_test_reward_sum = -551.2769847723335
episode 481, total reward -307.5310913205917
episode 482, total reward -554.6406639609884
episode 483, total reward -312.661284712685
episode 484, total reward -325.2997766436165
episode 485, total reward -521.3811451954945
episode 486, total reward -431.65142621156036
episode 487, total reward -588.084828538082
episode 488, total reward -469.3017551018491
episode 489, total reward -459.66775863839075
episode 490, total reward -368.2237079636964
episode 491, total reward -364.8082539144833
episode 492, total reward -611.0166567768741
episode 493, total reward -561.1762285594806
episode 494, total reward -603.3200368988357
episode 495, total reward -574.8787866455575
episode 496, total reward -504.7891427614748
episode 497, total reward -425.3640843174789
episode 498, total reward -259.0945543523054
episode 499, total reward -576.1324416083228
episode 500, total reward -586.966044016984
start test!
average_test_reward_sum = -529.0010713362135
episode 501, total reward -364.65246498626567
episode 502, total reward -604.4104571087834
episode 503, total reward -338.5941015196342
episode 504, total reward -362.9497775915819
episode 505, total reward -464.06538172820876
episode 506, total reward -582.3497001580633
episode 507, total reward -551.2015311031952
episode 508, total reward -363.68202442960256
episode 509, total reward -518.2410098631616
episode 510, total reward -665.9208297457385
episode 511, total reward -471.43695800218154
episode 512, total reward -366.5921526835532
episode 513, total reward -387.9795960927276
episode 514, total reward -363.55293881300327
episode 515, total reward -573.7697634794896
episode 516, total reward -652.0668311238991
episode 517, total reward -614.2322437430378
episode 518, total reward -670.5123036834134
episode 519, total reward -336.1054555192752
episode 520, total reward -665.1416481620813
start test!
average_test_reward_sum = -541.1584626502956
episode 521, total reward -344.2252604657668
episode 522, total reward -265.96626623710296
episode 523, total reward -387.4094997780374
episode 524, total reward -379.01521261113726
episode 525, total reward -549.5482083922503
episode 526, total reward -415.00970122367795
episode 527, total reward -585.0199466174585
episode 528, total reward -433.2014788814933
episode 529, total reward -254.0441146124307
episode 530, total reward -694.6052620153911
episode 531, total reward -625.6900920208053
episode 532, total reward -381.5295358539573
episode 533, total reward -439.4582304279966
episode 534, total reward -349.3306398948527
episode 535, total reward -367.9729109497788
episode 536, total reward -645.84005965037
episode 537, total reward -492.53361658808086
episode 538, total reward -648.6273393765194
episode 539, total reward -390.0960379165914
episode 540, total reward -643.3992388469514
start test!
average_test_reward_sum = -592.906223881303
episode 541, total reward -524.662131941117
episode 542, total reward -363.673015255234
episode 543, total reward -437.7965176385102
episode 544, total reward -252.91150656336438
episode 545, total reward -546.7962516510847
episode 546, total reward -308.7021261720879
episode 547, total reward -358.8169184259531
episode 548, total reward -468.572757438996
episode 549, total reward -253.945172504157
episode 550, total reward -369.4942832148269
episode 551, total reward -679.7223224326272
episode 552, total reward -499.891228707555
episode 553, total reward -427.3460715616803
episode 554, total reward -676.3724820995519
episode 555, total reward -576.9608344207546
episode 556, total reward -488.30297258718167
episode 557, total reward -374.2835362358773
episode 558, total reward -281.09812772374846
episode 559, total reward -647.978797948645
episode 560, total reward -511.25619623050295
start test!
average_test_reward_sum = -525.4567724963018
episode 561, total reward -597.6915432761865
episode 562, total reward -633.686925156834
episode 563, total reward -687.7835399501246
episode 564, total reward -385.2212886047451
episode 565, total reward -271.668017832134
episode 566, total reward -477.0648855571364
episode 567, total reward -661.6408991672348
episode 568, total reward -356.6537358403959
episode 569, total reward -467.5060838783526
episode 570, total reward -594.7347542538686
episode 571, total reward -691.810653177556
episode 572, total reward -364.57706418866763
episode 573, total reward -364.63359361096167
episode 574, total reward -468.54683101608674
episode 575, total reward -363.7993524007156
episode 576, total reward -387.19924897126737
episode 577, total reward -606.3088874887326
episode 578, total reward -530.5505476263096
episode 579, total reward -593.4214463219909
episode 580, total reward -502.07584747011043
start test!
average_test_reward_sum = -594.650621411101
episode 581, total reward -690.8459290410045
episode 582, total reward -383.1103345066
episode 583, total reward -367.59769111532586
episode 584, total reward -683.6165913422261
episode 585, total reward -426.12734792777735
episode 586, total reward -447.4001453954741
episode 587, total reward -565.2031877098732
episode 588, total reward -455.389966782636
episode 589, total reward -268.42541985129816
episode 590, total reward -486.7507669020031
episode 591, total reward -325.60679050801554
episode 592, total reward -377.22666002594343
episode 593, total reward -365.0228271658695
episode 594, total reward -363.72412126561915
episode 595, total reward -361.92936596534116
episode 596, total reward -374.74235549851215
episode 597, total reward -669.765077669553
episode 598, total reward -557.384885794265
episode 599, total reward -365.65630567626715
episode 600, total reward -650.7065346423727
start test!
average_test_reward_sum = -590.6250389962515
episode 601, total reward -604.7674491476864
episode 602, total reward -593.0689346267216
episode 603, total reward -458.8098945595153
episode 604, total reward -251.70536812418342
episode 605, total reward -690.9432437812333
episode 606, total reward -363.4359970433048
episode 607, total reward -457.04422479511004
episode 608, total reward -364.48680979546396
episode 609, total reward -658.6828169262398
episode 610, total reward -378.29037695671815
episode 611, total reward -470.69474934654136
episode 612, total reward -561.5506722465212
episode 613, total reward -276.28616037814453
episode 614, total reward -660.5669293114954
episode 615, total reward -470.9207525263304
episode 616, total reward -387.99680056347916
episode 617, total reward -608.9486535447197
episode 618, total reward -531.4062808270531
episode 619, total reward -365.50563369201114
episode 620, total reward -475.7109519887106
start test!
average_test_reward_sum = -513.4220376512637
episode 621, total reward -554.550699836779
episode 622, total reward -533.4148903790465
episode 623, total reward -254.48602480410207
episode 624, total reward -364.8923998876767
episode 625, total reward -390.80082686073473
episode 626, total reward -441.612149952708
episode 627, total reward -458.5474126821342
episode 628, total reward -677.5895057744945
episode 629, total reward -250.55319263822105
episode 630, total reward -641.1977562083822
episode 631, total reward -366.3411627540548
episode 632, total reward -478.1354594833784
episode 633, total reward -383.79357443019404
episode 634, total reward -602.2648632348418
episode 635, total reward -365.53647535090374
episode 636, total reward -382.7094554342169
episode 637, total reward -649.1232564246607
episode 638, total reward -309.72816588522943
episode 639, total reward -367.4647945529288
episode 640, total reward -413.30340190736797
start test!
average_test_reward_sum = -496.04222683628933
episode 641, total reward -464.2825609521003
episode 642, total reward -441.8046945736219
episode 643, total reward -454.2542684239122
episode 644, total reward -540.719410972098
episode 645, total reward -345.1661573741041
episode 646, total reward -534.9746156398835
episode 647, total reward -347.4104913476404
episode 648, total reward -700.4113606462922
episode 649, total reward -534.7377937100506
episode 650, total reward -480.63127011748804
episode 651, total reward -459.2798696327308
episode 652, total reward -461.7985588120074
episode 653, total reward -339.56553543661465
episode 654, total reward -362.3626033704737
episode 655, total reward -568.2970691925659
episode 656, total reward -564.130814646573
episode 657, total reward -342.7613887565615
episode 658, total reward -288.9286556021406
episode 659, total reward -455.8378830433465
episode 660, total reward -363.6896491010935
start test!
average_test_reward_sum = -508.2063958270381
episode 661, total reward -429.0770109837872
episode 662, total reward -368.85166416316173
episode 663, total reward -365.634967068284
episode 664, total reward -447.1351605157342
episode 665, total reward -519.9802152337768
episode 666, total reward -619.1709140547845
episode 667, total reward -462.5247948172904
episode 668, total reward -634.1528499963989
episode 669, total reward -368.6607281768822
episode 670, total reward -599.769860257434
episode 671, total reward -267.7433342030892
episode 672, total reward -565.1122275824422
episode 673, total reward -416.08190278944954
episode 674, total reward -544.2658493863255
episode 675, total reward -250.1830252455974
episode 676, total reward -251.16751437142204
episode 677, total reward -364.5733235949831
episode 678, total reward -360.8649729508413
episode 679, total reward -466.07940228871956
episode 680, total reward -362.97613348200457
start test!
average_test_reward_sum = -507.55977315353874
episode 681, total reward -563.6992380530394
episode 682, total reward -352.41969017732634
episode 683, total reward -249.3091132631117
episode 684, total reward -392.76285672032645
episode 685, total reward -569.8833929250457
episode 686, total reward -478.53574518593194
episode 687, total reward -482.7215187242703
episode 688, total reward -628.1132009186276
episode 689, total reward -702.0161655940499
episode 690, total reward -491.4721165747306
episode 691, total reward -474.4476581699991
episode 692, total reward -681.4344489066356
episode 693, total reward -631.7158041342216
episode 694, total reward -463.01061456449656
episode 695, total reward -515.9109184400459
episode 696, total reward -255.31048168944398
episode 697, total reward -401.15912884007764
episode 698, total reward -692.8086762459759
episode 699, total reward -555.4661089039373
episode 700, total reward -431.8447001520054
start test!
average_test_reward_sum = -509.02437207602964
episode 701, total reward -430.0530293195436
episode 702, total reward -361.1772439006466
episode 703, total reward -380.04020963970544
episode 704, total reward -461.5817263365879
episode 705, total reward -464.13721307522576
episode 706, total reward -457.7010561759816
episode 707, total reward -644.1120100139792
episode 708, total reward -315.3324846564924
episode 709, total reward -374.86891282028273
episode 710, total reward -369.3260170971317
episode 711, total reward -667.2711025117725
episode 712, total reward -252.12349634412956
episode 713, total reward -363.1791026155498
episode 714, total reward -486.40906494482357
episode 715, total reward -468.7781368514665
episode 716, total reward -141.47585173148923
episode 717, total reward -400.0392997117234
episode 718, total reward -358.2183268329333
episode 719, total reward -603.713059597302
episode 720, total reward -360.92956189714636
start test!
average_test_reward_sum = -503.54801799705444
episode 721, total reward -371.63385842954085
episode 722, total reward -706.7207179831664
episode 723, total reward -260.48438020519967
episode 724, total reward -251.09795917024752
episode 725, total reward -483.08389302536534
episode 726, total reward -617.1935304574946
episode 727, total reward -310.7729085640659
episode 728, total reward -495.3121363431993
episode 729, total reward -357.114655154591
episode 730, total reward -460.5972504459286
episode 731, total reward -257.044323549802
episode 732, total reward -486.82363711262184
episode 733, total reward -471.5091756266978
episode 734, total reward -250.10170301839844
episode 735, total reward -402.0667973597087
episode 736, total reward -597.6646150344144
episode 737, total reward -480.3762841634332
episode 738, total reward -542.0030059372395
episode 739, total reward -451.5676781696633
episode 740, total reward -364.6405057905173
start test!
average_test_reward_sum = -434.2066734756137
episode 741, total reward -475.060032179459
episode 742, total reward -712.1575772657269
episode 743, total reward -374.9047477390995
episode 744, total reward -262.7201554776876
episode 745, total reward -281.9023281573497
episode 746, total reward -480.04905457569464
episode 747, total reward -508.5462155440218
episode 748, total reward -608.6524537137839
episode 749, total reward -317.7198360050076
episode 750, total reward -452.80219418552554
episode 751, total reward -247.23790048873184
episode 752, total reward -355.95973210026506
episode 753, total reward -599.2063598297252
episode 754, total reward -392.6862871099515
episode 755, total reward -502.50146132069546
episode 756, total reward -676.4041072057986
episode 757, total reward -360.3489181746019
episode 758, total reward -429.23185567435667
episode 759, total reward -249.59828540310752
episode 760, total reward -645.5791206767992
start test!
average_test_reward_sum = -492.617926955949
episode 761, total reward -423.53390644494505
