****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
episode 310, total reward -369.2766829485459
episode 311, total reward -363.028868929886
episode 312, total reward -602.8648479315086
episode 313, total reward -251.9594306076682
episode 314, total reward -554.3715784624094
episode 315, total reward -370.6935773090109
episode 316, total reward -301.03522256267394
episode 317, total reward -554.9063849744301
episode 318, total reward -706.9486588634281
episode 319, total reward -420.78889418800196
episode 320, total reward -377.3578924358603
start test!
average_test_reward_sum = -579.091524559951
episode 321, total reward -551.9490718147827
episode 322, total reward -367.375388043763
episode 323, total reward -340.22787416675715
episode 324, total reward -400.01280948018984
episode 325, total reward -358.65695573541944
episode 326, total reward -466.3313334143748
episode 327, total reward -363.218145168684
episode 328, total reward -367.31452099639733
episode 329, total reward -599.5232639360001
episode 330, total reward -371.16612268869494
episode 331, total reward -416.0021276071283
episode 332, total reward -497.339811493719
episode 333, total reward -646.8530531593407
episode 334, total reward -250.84114393878468
episode 335, total reward -453.06137014991367
episode 336, total reward -676.8793806590301
episode 337, total reward -309.33061911248717
episode 338, total reward -375.1611758709588
episode 339, total reward -365.63642206796663
episode 340, total reward -368.991434994142
start test!
average_test_reward_sum = -605.1455386665148
episode 341, total reward -338.7946774096496
episode 342, total reward -460.4941242122588
episode 343, total reward -459.019016218319
episode 344, total reward -532.8816699980647
episode 345, total reward -378.5388399373986
episode 346, total reward -386.3989108634234
episode 347, total reward -459.5944754751613
episode 348, total reward -461.1176395291099
episode 349, total reward -329.96921001035406
episode 350, total reward -247.3817561212302
episode 351, total reward -484.726502788603
episode 352, total reward -464.4246149409419
episode 353, total reward -375.6300620097803
episode 354, total reward -484.1987573422948
episode 355, total reward -649.7700070380965
episode 356, total reward -515.6727062607126
episode 357, total reward -523.338891660162
episode 358, total reward -560.3222305369362
episode 359, total reward -367.01077229920577
episode 360, total reward -470.37316487120785
start test!
average_test_reward_sum = -559.4763567290788
episode 361, total reward -509.591615076901
episode 362, total reward -463.04258438846267
episode 363, total reward -370.44200594971073
episode 364, total reward -360.9862517045486
episode 365, total reward -650.0916344038811
episode 366, total reward -456.2789656641625
episode 367, total reward -341.5276854670465
episode 368, total reward -658.5974637835392
episode 369, total reward -538.533010442416
episode 370, total reward -465.38637710807234
episode 371, total reward -424.0199282128175
episode 372, total reward -442.18445745505693
episode 373, total reward -568.9639580362531
episode 374, total reward -367.69079382736174
episode 375, total reward -481.3739001924756
episode 376, total reward -571.9667233296036
episode 377, total reward -629.8599245326575
episode 378, total reward -488.2585026962944
episode 379, total reward -567.7026775161839
episode 380, total reward -322.9284626358565
start test!
average_test_reward_sum = -543.0384759227297
episode 381, total reward -362.1679927491776
episode 382, total reward -363.1032867775489
episode 383, total reward -474.8976157561165
episode 384, total reward -363.15631943145223
episode 385, total reward -468.41559299105404
episode 386, total reward -487.4512585343694
episode 387, total reward -570.4788238669602
episode 388, total reward -323.3945153187261
episode 389, total reward -480.6099136419891
episode 390, total reward -496.17571251684353
episode 391, total reward -281.1136061403878
episode 392, total reward -536.397262153337
episode 393, total reward -436.71748251517226
episode 394, total reward -702.436929254698
