****** begin! ******
****** step1 ******
episode 0, total reward -305.36208882493764
episode 278, total reward -464.7759061343514
episode 279, total reward -463.140912958686
episode 280, total reward -514.6205569747476
start test!
average_test_reward_sum = -661.0891312259738
episode 281, total reward -453.3342708152938
episode 282, total reward -501.87282504580577
episode 283, total reward -578.3535625466338
episode 284, total reward -358.7402299330258
episode 285, total reward -459.38923094112124
episode 286, total reward -599.1023343434648
episode 287, total reward -368.00680499906497
episode 288, total reward -300.67775366207906
episode 289, total reward -363.5691585736709
episode 290, total reward -285.50750105563577
episode 291, total reward -362.26507047505834
episode 292, total reward -460.66100622719415
episode 293, total reward -685.073907890165
episode 294, total reward -276.4053102316273
episode 295, total reward -555.8808447709523
episode 296, total reward -354.08411496850687
episode 297, total reward -710.1717592582148
episode 298, total reward -468.8464894385079
episode 299, total reward -463.374446747043
episode 300, total reward -459.0782600269622
start test!
average_test_reward_sum = -587.5942745446424
episode 301, total reward -386.52007624488743
episode 302, total reward -385.59961521878535
episode 303, total reward -365.4864451774528
episode 304, total reward -678.6693062616654
episode 305, total reward -267.9278507720473
episode 306, total reward -662.5309467874373
episode 307, total reward -465.7522374172627
episode 308, total reward -648.5681103560273
episode 309, total reward -439.7707524543663
episode 310, total reward -609.2286273149216
episode 311, total reward -472.48837902909236
episode 312, total reward -573.654540985871
episode 313, total reward -431.79764296682487
episode 314, total reward -339.0643226106004
episode 315, total reward -655.7087177269495
episode 316, total reward -486.6305494126863
episode 317, total reward -286.12645970732103
episode 318, total reward -577.163954891142
episode 319, total reward -281.79041563627266
episode 320, total reward -549.0073938510764
start test!
average_test_reward_sum = -625.9069095522023
episode 321, total reward -372.53287110322736
episode 322, total reward -481.2391075915008
episode 323, total reward -457.56318003250504
episode 324, total reward -452.38446805670105
episode 325, total reward -676.2553478914992
episode 326, total reward -583.8948109381305
episode 327, total reward -457.9485903304118
episode 328, total reward -459.0231019178944
episode 329, total reward -652.6942729207973
episode 330, total reward -477.9605065526125
episode 331, total reward -257.06017706498324
episode 332, total reward -472.9349975535776
episode 333, total reward -357.80134924836244
episode 334, total reward -576.7650657475498
episode 335, total reward -576.5322295046052
episode 336, total reward -521.1135598912851
episode 337, total reward -597.3002658053961
episode 338, total reward -435.90753175448185
episode 339, total reward -458.66112829031954
episode 340, total reward -356.5647507747054
start test!
average_test_reward_sum = -588.715974527079
episode 341, total reward -575.6148001689944
episode 342, total reward -511.1048022888839
episode 343, total reward -383.8933051282685
episode 344, total reward -382.61113137727676
episode 345, total reward -534.5822367458982
episode 346, total reward -394.72962453977647
episode 347, total reward -504.95081060391846
episode 348, total reward -614.5976717684608
episode 349, total reward -472.98926779676447
episode 350, total reward -383.5259639071743
episode 351, total reward -362.29787372214696
episode 352, total reward -481.746143189293
episode 353, total reward -532.2367236184198
episode 354, total reward -377.3137660223688
episode 355, total reward -529.0416079863743
episode 356, total reward -368.45031131041014
episode 357, total reward -477.713173169674
episode 358, total reward -590.1561857643516
episode 359, total reward -543.7134776119535
episode 360, total reward -256.8293338824931
start test!
average_test_reward_sum = -607.4788317795499
episode 361, total reward -616.3648745387574
episode 362, total reward -515.6177164114598
episode 363, total reward -562.2103031999321
episode 364, total reward -372.50972906932077
episode 365, total reward -378.87484269291474
episode 366, total reward -585.872609732275
episode 367, total reward -466.6667254684077
episode 368, total reward -366.2793244982406
episode 369, total reward -595.4938783062426
episode 370, total reward -463.5501098543233
episode 371, total reward -423.66622583037633
episode 372, total reward -451.9026634980996
episode 373, total reward -399.035938320118
episode 374, total reward -532.7737051763985
episode 375, total reward -367.7268865978491
episode 376, total reward -473.3542336618386
episode 377, total reward -588.4877762603088
episode 378, total reward -457.11963341050176
episode 379, total reward -525.120693753854
episode 380, total reward -274.41968783503785
start test!
average_test_reward_sum = -593.0014481607398
episode 381, total reward -271.43794228534443
episode 382, total reward -456.72397031831144
episode 383, total reward -361.44116692897836
episode 384, total reward -587.5128675073607
episode 385, total reward -451.83151167661146
episode 386, total reward -361.3458531037978
episode 387, total reward -493.38125591364104
episode 388, total reward -604.6755500130955
episode 389, total reward -499.5781779377477
episode 390, total reward -364.66985747765796
episode 391, total reward -372.680823216995
episode 392, total reward -255.53848296927185
episode 393, total reward -693.5741238083273
episode 394, total reward -362.53142770638254
episode 395, total reward -369.168341319572
episode 396, total reward -475.0519267421818
episode 397, total reward -514.9909002386087
episode 398, total reward -603.9829907670999
episode 399, total reward -558.8237011865737
episode 400, total reward -369.6063090765071
start test!
average_test_reward_sum = -567.8642729091763
episode 401, total reward -568.9676578542659
episode 402, total reward -549.6435604923861
episode 403, total reward -694.0177705838067
episode 404, total reward -366.1582752764679
episode 405, total reward -465.85908934318394
episode 406, total reward -491.7224016347809
episode 407, total reward -515.1508303573912
episode 408, total reward -585.7586774371529
episode 409, total reward -388.2912531109759
episode 410, total reward -459.0545135860841
episode 411, total reward -492.1416331424597
episode 412, total reward -275.96959756205695
episode 413, total reward -455.7964610033146
episode 414, total reward -445.72945374413746
episode 415, total reward -667.4623389186652
episode 416, total reward -664.8224918626682
episode 417, total reward -491.39817141271277
episode 418, total reward -664.1650197250002
episode 419, total reward -360.6530390779774
episode 420, total reward -518.6079157345226
start test!
average_test_reward_sum = -589.2500839938218
episode 421, total reward -361.2874030723244
episode 422, total reward -617.7446318021068
episode 423, total reward -354.44524273377874
episode 424, total reward -422.95454889365357
episode 425, total reward -357.26104159369334
episode 426, total reward -394.2035607266927
episode 427, total reward -453.8997931507568
episode 428, total reward -464.3817750390453
episode 429, total reward -290.5385890978014
episode 430, total reward -682.0714230802184
episode 431, total reward -592.7417084404467
episode 432, total reward -551.3570170170138
episode 433, total reward -371.5315663379391
episode 434, total reward -327.29367943005377
episode 435, total reward -360.62185444055063
episode 436, total reward -484.143917063546
episode 437, total reward -360.6185309865695
episode 438, total reward -467.45793591575654
episode 439, total reward -478.35778287146564
episode 440, total reward -436.11457128500115
start test!
average_test_reward_sum = -571.7680711311758
episode 441, total reward -460.67830850306126
episode 442, total reward -259.53482633454473
episode 443, total reward -607.2940964615143
episode 444, total reward -625.1932795023284
episode 445, total reward -530.4295224236828
episode 446, total reward -464.5090448990087
episode 447, total reward -544.160918145053
episode 448, total reward -467.89417431949715
episode 449, total reward -374.6368191058889
episode 450, total reward -490.0302136978281
episode 451, total reward -471.4987698602736
episode 452, total reward -646.7278535539805
episode 453, total reward -364.69917646180255
episode 454, total reward -454.6857637512609
episode 455, total reward -363.59277767180345
episode 456, total reward -622.7024145346297
episode 457, total reward -367.44852947048014
episode 458, total reward -593.7699796139965
episode 459, total reward -499.0478267419955
episode 460, total reward -649.3357766993918
start test!
average_test_reward_sum = -580.9146077995808
episode 461, total reward -458.78405622336135
episode 462, total reward -361.09904249397295
episode 463, total reward -654.097194109919
episode 464, total reward -388.7715799925097
episode 465, total reward -463.33960891047667
episode 466, total reward -371.79997207367876
episode 467, total reward -569.2986927763923
episode 468, total reward -373.2936262728954
episode 469, total reward -497.1105655817234
episode 470, total reward -519.1915738067778
episode 471, total reward -655.7885046194358
episode 472, total reward -695.9433812605236
episode 473, total reward -610.119784370738
episode 474, total reward -448.9733653233439
episode 475, total reward -478.31828411774353
episode 476, total reward -582.0820732036755
episode 477, total reward -326.0430310515179
episode 478, total reward -586.890875767422
episode 479, total reward -506.7404550400704
episode 480, total reward -499.56012484889334
start test!
average_test_reward_sum = -572.4265358777852
episode 481, total reward -426.70258116692423
episode 482, total reward -373.11606930034486
episode 483, total reward -370.1775762727047
episode 484, total reward -541.7142472020422
episode 485, total reward -541.2601338680561
episode 486, total reward -452.59542620511803
episode 487, total reward -545.0288056966275
episode 488, total reward -361.3873423208575
episode 489, total reward -369.8679715152454
episode 490, total reward -483.3568306273844
episode 491, total reward -248.84099488985365
episode 492, total reward -626.2204682860637
episode 493, total reward -524.5022525815131
episode 494, total reward -461.51802327677746
episode 495, total reward -510.16841310536944
episode 496, total reward -366.4147191512237
episode 497, total reward -556.8973103794937
episode 498, total reward -373.9213772959519
episode 499, total reward -482.3256741714079
episode 500, total reward -259.7703429580382
start test!
average_test_reward_sum = -574.3457878733451
episode 501, total reward -487.9794458891093
episode 502, total reward -371.61476712404243
episode 503, total reward -658.8178394615873
episode 504, total reward -474.3110013810408
episode 505, total reward -626.2917617468084
episode 506, total reward -385.66758212124864
episode 507, total reward -569.9929556284313
episode 508, total reward -390.5683674189579
episode 509, total reward -460.2741384054727
episode 510, total reward -526.3468712552874
episode 511, total reward -510.24882335742245
episode 512, total reward -637.8986582419665
episode 513, total reward -489.62928706342694
episode 514, total reward -558.7997540968655
episode 515, total reward -314.6652893235958
episode 516, total reward -395.4312753160783
episode 517, total reward -455.7805271608455
episode 518, total reward -483.81315534555586
episode 519, total reward -268.99971368772833
episode 520, total reward -360.0044644072247
start test!
average_test_reward_sum = -568.671085329968
episode 521, total reward -378.82856046685214
episode 522, total reward -459.20666346662335
episode 523, total reward -263.5065371085502
episode 524, total reward -420.9782885818245
episode 525, total reward -457.5883567641583
episode 526, total reward -339.4139732439795
episode 527, total reward -461.378656765569
episode 528, total reward -382.4165990237364
episode 529, total reward -520.7262952249786
episode 530, total reward -253.53025630697098
episode 531, total reward -371.6598335626858
episode 532, total reward -256.44372744879587
episode 533, total reward -665.679301296445
episode 534, total reward -644.5683781877389
episode 535, total reward -670.6750506444199
episode 536, total reward -254.61257213362265
episode 537, total reward -359.6379095618468
episode 538, total reward -493.92359144637766
episode 539, total reward -377.6082341640668
episode 540, total reward -393.01269421805637
start test!
average_test_reward_sum = -519.4795918478906
episode 541, total reward -593.942188517867
episode 542, total reward -569.1705818586713
episode 543, total reward -327.94916140065226
episode 544, total reward -460.2987468077567
episode 545, total reward -460.9030478126614
episode 546, total reward -664.9958205396953
episode 547, total reward -643.8388215110679
episode 548, total reward -380.23034558518515
episode 549, total reward -397.4814869274318
episode 550, total reward -421.508691198495
episode 551, total reward -563.839863530291
episode 552, total reward -671.2845822800389
episode 553, total reward -363.04275585161304
episode 554, total reward -353.7102645962286
episode 555, total reward -479.73626912897174
episode 556, total reward -515.6439084770243
episode 557, total reward -457.97569891833325
episode 558, total reward -471.5224209549229
episode 559, total reward -490.25430554949463
episode 560, total reward -390.1075901561476
start test!
average_test_reward_sum = -513.8959572182048
episode 561, total reward -391.8802480551219
episode 562, total reward -351.83406233935796
episode 563, total reward -425.43404077878495
episode 564, total reward -363.9684011372937
episode 565, total reward -541.8546315302046
episode 566, total reward -368.9486526763957
episode 567, total reward -129.70011121752287
episode 568, total reward -472.98219684401533
episode 569, total reward -340.9273094093916
episode 570, total reward -460.04638494835314
episode 571, total reward -517.2037356278826
episode 572, total reward -682.383131146171
episode 573, total reward -643.8963078726108
